Simplified,Pinyin,English
学校,xuéxiào,school
应该,yīnggāi,should
指出,zhǐchū,Point
经济,jīngjì,economic
其他,qítā,other
家,jiā,Home
发展,fāzhǎn,development of
教育,jiàoyū,education
成为,chéngwéi,become
多,duō,many
非常,fēicháng,very much
便,biàn,Then
方面,fāngmiàn,aspect
很多,hěnduō,a lot of
吃,chī,eat
然后,ránhòu,then
未,wèi,not
发现,fāxiàn,Find
电脑,diànnǎo,computer
一样,yīyàng,same
而且,érqiě,and
心,xīn,heart
不过,búguò,but
无法,wúfǎ,Unable
企业,qǐyè,enterprise
正,zhèng,positive
服务,fúwù,service
较,jiào,Relatively
不会,búhuì,will not
台湾,táiwān,Taiwan
曾,zēng,Once
吗,mā,It
空间,kōngjiān,space
看到,kàndào,see
五,wǔ,Fives
如何,rúhé,how is it
国内,guónèi,domestic
们,men,They
无,wú,no
对于,duìyú,for
以及,yǐjí,as well as
之后,zhīhòu,after that
可是,kěshì,but
当,dāng,when
人员,rényuán,personnel
比,bǐ,ratio
先,xiān,first
产品,chǎnpǐn,product
资讯,zīxùn,News
资料,zīliào,data
比较,bǐjiào,Compare
先生,xiānshēng,Mr
地,dì,Ground
除了,chúle,apart from
大陆,dàlù,mainland
需要,xūyào,need
像,xiàng,Like
在,zài,in
给,gěi,give
岁,suì,year old
请,qǐng,please
月,yuè,month
些,xiē,some
名,míng,name
另,lìng,another
若,ruò,If the
亦,yì,also
地区,dìqū,area
技术,jìshù,technology
至,zhì,to
特别,tèbié,especially
其实,qíshí,in fact
国际,guójì,International
不要,búyào,Do not
发生,fāshēng,occur
参加,cānjiā,participate
一定,yīdìng,for sure
其中,qízhōng,among them
问,wèn,ask
台北,táiběi,Taipei
包括,bāokuò,include
讲,jiǎng,speak
造成,zàochéng,Create
看,kàn,Look
像,xiàng,Like
常,cháng,often
即,jí,which is
喜欢,xǐhuān,like
去,qù,go with
没,méi,No
出现,chūxiàn,appear
政治,zhèngzhì,political
话,huà,words
走,zǒu,go
单位,dānwèi,unit
一直,yīzhí,Up
吧,ba,It
是否,shìfǒu,whether
当然,dāngrán,of course
整,zhěng,whole
处理,chǔlǐ,deal with
历史,lìshǐ,history
了解,liǎojiě,To understanding
那,nà,that
怎么,zěnme,how
机会,jīhuì,opportunity
家,jiā,Home
听,tīng,listen
所有,suǒyǒu,all
只要,zhǐyào,as long as
朋友,péngyou,friend
令,lìng,make
甚至,shènzhì,even
用,yòng,use
真,zhēn,true
六,liù,six
呀,ya,Yeah
情况,qíngkuàng,Happening
还是,háishì,still is
钱,qián,money
方法,fāngfǎ,method
点,diǎn,point
任何,rènhé,any
经验,jīngyàn,experience
艺术,yìshù,art
你们,nǐmen,you guys
十,shí,ten
主要,zhǔyào,main
妈妈,māmā,mom
增加,zēngjiā,increase
提出,tíchū,put forward
为什么,wèishéme,why
以,yǐ,With
您,nín,you
计画,jìhuà,plan
作,zuò,Make
利用,lìyòng,use
东西,dōngxī,thing
在,zài,in
条,tiáo,Article
设计,shèjì,design
找,zhǎo,Find
之间,zhījiān,between
成长,chéngzhǎng,growing up
能够,nénggòu,were able
决定,juédìng,Decide
学习,xuéxí,Learn
谁,shéi,Who
见,jiàn,see
半,bàn,half
时代,shídài,era
完成,wánchéng,carry out
带,dài,band
相当,xiāngdāng,quite
同学,tóngxué,Classmate
件,jiàn,Item
能力,nénglì,ability
别人,biérén,other people
生命,shēngmìng,life
下,xià,under
来,lái,Come
场,cháng,field
会议,huìyì,meeting
容易,róngyì,easy
开发,kāifā,Develop
民众,mínzhòng,people
事情,shìqíng,thing
书,shū,book
事实,shìshí,fact
有关,yǒuguān,related
自,zì,from
组织,zǔzhī,organization
言,yán,Speech
多,duō,many
爱,ài,Love
建立,jiànlì,set up
相关,xiāngguān,Related
均,jūn,all
产生,chǎnshēng,produce
多,duō,many
业者,yèzhě,Industry
解决,jiějué,solve
完全,wánquán,complete
的话,dehuà,if
接受,jiēshòu,accept
知,zhī,know
约,yuē,approximately
一般,yībān,general
推动,tuīdòng,promote
过程,guòchéng,process
管理,guǎnlǐ,management
功能,gōngnéng,Features
手,shǒu,hand
打,dǎ,hit
水,shuǐ,water
要求,yāoqiú,Claim
小朋友,xiǎopéngyǒu,Children
教授,jiàoshòu,professor
难,nán,difficult
我国,wǒguó,Country
告诉,gàosù,tell
内容,nèiróng,content
结果,jiéguǒ,result
调查,diàochá,survey
家庭,jiātíng,family
成立,chénglì,Set up
选择,xuǎnzé,select
经营,jīngyíng,Run
然而,ránér,however
父母,fùmǔ,parents
写,xiě,write
人类,rénlèi,Humanity
至于,zhìyū,As for
买,mǎi,buy
尤其,yóuqí,especially
配合,pèihé,Coordinate
进入,jìnrù,enter
例如,lìrú,E.g
得,děi,Get
讨论,tǎolùn,discuss
依,yī,according to
作品,zuòpǐn,works
情形,qíngxíng,situation
资源,zīyuán,Resources
原因,yuányīn,the reason
啦,lā,La
妳,nǐ,You
运动,yùndòng,movement
观念,guānniàn,Ideas
给,gěi,give
软体,ruǎntǐ,software
品质,pǐnzhí,quality
经过,jīngguò,after
如此,rúcǐ,in this way
嗯,ēn,Ok
精神,jīngshén,spirit
影响,yǐngxiǎng,influences
之,zhī,It
过,guò,Live
好像,hǎoxiàng,like
成,chéng,to make
参与,cānyū,participate
以后,yǐhòu,after
于是,yūshì,then
部分,bùfèn,section
另外,lìngwài,Other
公园,gōngyuán,park
透过,tòuguò,Pass through
训练,xùnliàn,training
努力,nǔlì,Strive
研究,yánjiù,the study
具有,jùyǒu,have
共同,gòngtóng,common
所谓,suǒwèi,So-called
下,xià,under
行为,xíngwéi,behavior
合作,hézuò,Cooperation
经,jīng,through
合作,hézuò,Cooperation
目标,mùbiāo,the goal
起来,qǐlái,stand up
考虑,kǎolù,consider
长,cháng,long
意见,yìjiàn,opinion
办法,bànfǎ,Method
音乐,yīnyuè,music
连,lián,even
受,shòu,Suffer
厂商,chǎngshāng,Firm
只,zhī,only
受到,shòudào,Suffer
一切,yīqiè,all
或是,huòshì,Or
中央,zhōngyāng,central
某,mǒu,certain
女性,nǔxìng,female
教学,jiāoxué,teaching
极,jí,pole
获得,huòdé,obtain
真的,zhēnde,Really
路,lù,road
来,lái,Come
快,kuài,fast
国小,guóxiǎo,Small country
部份,bùfèn,Part
工程,gōngchéng,engineering
女人,nǔrén,woman
举行,jǔxíng,Hold
句,jù,sentence
只是,zhǐshì,just
段,duàn,segment
根据,gēnjù,according to
现象,xiànxiàng,phenomenon
人民,rénmín,people
土地,tǔdì,land
面对,miànduì,face
注意,zhùyì,note
这里,zhèlǐ,Here
新闻,xīnwén,news
继续,jìxù,carry on
相信,xiāngxìn,Believe
政策,zhèngcè,policy
变成,biànchéng,become
计划,jìhuà,plan
强调,qiángdiào,Emphasize
学,xué,learn
人士,rénshì,person
前,qián,before
前,qián,before
存在,cúnzài,exist
制度,zhìdù,system
意义,yìyì,significance
代表,dàibiǎo,representative
课程,kèchéng,course
该,gāi,That
没,méi,No
至,zhì,to
需求,xūqiú,demand
人生,rénshēng,life
那些,nǎxiē,Those ones
成功,chénggōng,success
爸爸,bàbà,father
产业,chǎnyè,industry
负责,fùzé,responsible for
民间,mínjiān,folk
虽,suī,although
影响,yǐngxiǎng,influences
直接,zhíjiē,direct
几乎,jīhū,almost
分,fèn,Minute
实际,shíjì,actual
团体,tuántǐ,group
价值,jiàzhí,value
使得,shǐdé,Make
类,lèi,class
形成,xíngchéng,form
科技,kējì,Science and Technology
这么,zhèmo,so
当,dāng,when
七,qī,Seven
不但,búdàn,Not only
往,wǎng,to
本身,běnshēn,itself
标准,biāozhǔn,standard
似乎,sìhū,seem
应用,yìngyòng,application
或者,huòzhě,or
动物,dòngwù,animal
电话,diànhuà,phone
态度,tàidù,attitude
建设,jiànshè,Construction
事业,shìyè,cause
老,lǎo,old
那么,nàmo,Then
常常,chángcháng,often
字,zì,word
坐,zuò,sit
举办,jǔbàn,Hold
自我,zìwǒ,self
有的,yǒude,some
具,jù,Equipment
目的,mùdì,purpose
块,kuài,Piece
条件,tiáojiàn,condition
即使,jíshǐ,even if
好,hǎo,it is good
十分,shífēn,very
多少,duōshǎo,How many
放,fàng,put
又,yòu,also
电影,diànyǐng,the film
科学,kēxué,science
执行,zhíxíng,carried out
边,biān,side
委员会,wěiyuánhuì,Committee
沟通,gōutōng,communication
开,kāi,open
一起,yīqǐ,together
张,zhāng,Zhang
针对,zhēnduì,against
员工,yuángōng,Staff
引起,yǐnqǐ,cause
自然,zìrán,natural
那么,nàmo,Then
安全,ānquán,Safety
总统,zǒngtǒng,president
此外,cǐwài,Moreover
拥有,yǒngyǒu,have
并且,bìngqiě,and
事件,shìjiàn,event
设计,shèjì,design
研究所,yánjiùsuǒ,graduate School
语言,yǔyán,Language
严重,yánzhòng,serious
故事,gùshì,story
学术,xuéshù,Scholarship
片,piàn,sheet
设备,shèbèi,equipment
之外,zhīwài,Outside the
车,chē,car
基本,jīběn,Basic
实在,shízài,really
久,jiǔ,Long
套,tào,set
达到,dádào,achieve
改善,gǎishàn,improve
死,sǐ,dead
结构,jiégòu,structure
住,zhù,live
皆,jiē,all
改变,gǎibiàn,change
拿,ná,take
小组,xiǎozǔ,group
支持,zhīchí,stand by
座,zuò,seat
医院,yīyuàn,hospital
既,jì,Already
仅,jǐn,only
值得,zhíde,worth it
学者,xuézhě,scholar
八,bā,Eight
交通,jiāotōng,traffic
阶段,jiēduàn,stage
就是,jiùshì,It is
申请,shēnqǐng,Application
主管,zhǔguǎn,In charge
申请,shēnqǐng,Application
同,tóng,with
感觉,gǎnjué,feel
电视,diànshì,TV
母亲,mǔqīn,mother
嘛,má,Well
香港,xiānggǎng,Hong Kong
记者,jìzhě,reporter
压力,yālì,pressure
快乐,kuàilè,happy
喝,hē,drink
敢,gǎn,dare
院,yuàn,hospital
也许,yěxǔ,Maybe
人们,rénmen,people
谈,tán,talk
生产,shēngchǎn,produce
怕,pà,afraid
就,jiù,on
身体,shēntǐ,body
规定,guīdìng,Provision
程度,chéngdù,degree
积极,jījí,positive
知识,zhīshì,Knowledge
作为,zuòwéi,As a
机构,jīgòu,mechanism
而是,érshì,But
鼓励,gǔlì,encourage
角色,jiǎosè,Character
状况,zhuàngkuàng,situation
专家,zhuānjiā,expert
据,jù,according to
清楚,qīngchǔ,clear
不仅,bùjǐn,not only
比赛,bǐsài,game
玩,wán,play
效果,xiàoguǒ,effect
越,yuè,More
保护,bǎohù,protection
共,gòng,Altogether
开放,kāifàng,open
附近,fùjìn,nearby
上,shàng,on
父亲,fùqīn,father
专业,zhuānyè,profession
经费,jīngfèi,Fund
曾经,céngjīng,once
工作,gōngzuò,jobs
愿意,yuànyì,willing
分别,fēnbié,respectively
重视,zhòngshì,Pay attention
不少,bùshǎo,Many
欢迎,huānyíng,welcome
小孩,xiǎohái,Child
小时,xiǎoshí,hour
中国人,zhōngguórén,Chinese people
显示,xiǎnshì,display
中共,zhōnggòng,Chinese Communist Party
出,chū,Out
男人,nánrén,the man
避免,bìmiǎn,avoid
属于,shǔyū,belong
实施,shíshī,Implement
声音,shēngyīn,sound
主义,zhǔyì,Doctrine
行动,xíngdòng,action
不可,bùkě,Can not
只有,zhǐyǒu,only
校园,xiàoyuán,campus
兴趣,xìngqù,interest
山,shān,mountain
表现,biǎoxiàn,which performed
得,dé,Get
回来,huílái,come back
主任,zhǔrèn,director
里面,lǐmiàn,inside
经常,jīngcháng,often
不再,búzài,no longer
电子,diànzǐ,electronic
受,shòu,Suffer
思想,sīxiǎng,thought
头,tóu,head
终于,zhōngyū,at last
谢谢,xièxiè,Thank you
协助,xiézhù,assist
除,chú,except
当地,dāngdì,local
正式,zhèngshì,formal
真正,zhēnzhèng,real
低,dī,low
性,xìng,Sex
份,fèn,Part
因素,yīnsù,factor
推出,tuīchū,roll out
上,shàng,on
价格,jiàgé,price
去,qù,go with
认识,rènshì,understanding
方向,fāngxiàng,direction
责任,zérèn,responsibility
说明,shuōmíng,Explanation
工业,gōngyè,industry
大量,dàliàng,Numerous
做,zuò,do
逐渐,zhújiàn,gradually
心理,xīnlǐ,psychological
一点,yīdiǎn,a little
供,gōng,for
须,xū,Must
简单,jiǎndān,simple
运用,yùnyòng,use
观察,guānchá,Observed
往往,wǎngwǎng,often
规划,guīhuà,planning
减少,jiǎnshǎo,cut back
重新,chóngxīn,Again
业务,yèwù,business
报导,bàodǎo,Reports
仍然,réngrán,still
感到,gǎndào,feel
开放,kāifàng,open
领域,lǐngyū,field
有效,yǒuxiào,effective
女,nǔ,Female
要,yào,want
从事,cóngshì,Engage
发挥,fāhuī,Exert
人才,réncái,Talented person
反而,fǎnér,instead
行政,xíngzhèng,administrative
银行,yínháng,bank
公共,gōnggòng,public
媒体,méitǐ,media
提高,tígāo,improve
代,dài,generation
自然,zìrán,natural
社区,shèqū,community
力量,lìliàng,power
啊,ā,what
教育部,jiàoyūbù,Ministry of Education
愈,yū,Heal
超过,chāoguò,exceed
维持,wéichí,maintain
家长,jiāzhǎng,Parents
结合,jiéhé,Combine
校长,xiàozhǎng,principal
通常,tōngcháng,usually
缺乏,quēfá,lack of
委员,wěiyuán,Committee member
特色,tèsè,Characteristic
结果,jiéguǒ,result
有时,yǒushí,sometimes
教师,jiàoshī,teacher
之前,zhīqián,prior to
远,yuǎn,far
控制,kòngzhì,control
本,běn,this
否则,fǒuzé,otherwise
法,fǎ,law
少,shǎo,less
原则,yuánzé,in principle
要,yào,want
脸,liǎn,face
通过,tōngguò,by
建议,jiànyì,Suggest
工具,gōngjù,tool
作业,zuòyè,operation
达,dá,Reach
节目,jiémù,program
智慧,zhìhuì,wisdom
来自,láizì,Come from
而,ér,and
变化,biànhuà,Variety
同样,tóngyàng,same
形式,xíngshì,form
站,zhàn,station
以为,yǐwéi,think
健康,jiànkāng,health
担任,dānrèn,Served
人口,rénkǒu,population
规划,guīhuà,planning
刚,gāng,just
特殊,tèshū,special
原来,yuánlái,original
道,dào,Road
分,fēn,Minute
传统,chuántǒng,Tradition
总是,zǒngshì,always
前往,qiánwǎng,Go
投资,tóuzī,investment
加强,jiāqiáng,strengthen
不断,búduàn,Constantly
对象,duìxiàng,Objects
追求,zhuīqiú,pursue
加上,jiāshàng,Plus
比,bǐ,ratio
思考,sīkǎo,Think
制作,zhìzuò,Make
台北市,táiběishì,Taipei City
取得,qǔdé,Obtain
出来,chūlái,come out
加入,jiārù,Join
台,tái,station
安排,ānpái,arrangement
儿童,értóng,child
国中,guózhōng,secondary
范围,fànwéi,range
老人,lǎorén,Old people
双方,shuāngfāng,both sides
牠,tā,it
北京,běijīng,Beijing
年轻,niánqīng,young
结束,jiéshù,the end
教,jiāo,teach
程式,chéngshì,Program
妇女,fùnǔ,Women
找到,zhǎodào,turn up
彼此,bǐcǐ,each other
全球,quánqiú,global
成本,chéngběn,cost
回到,huídào,Back to
部,bù,unit
而已,éryǐ,Nothing more
之下,zhīxià,under
等,děng,Wait
变,biàn,change
期间,qíjiān,period
非,fēi,non-
小姐,xiǎojiě,Young lady
整体,zhěngtǐ,overall
采用,cǎiyòng,use
根本,gēnběn,fundamental
叫,jiào,call
欧洲,ōuzhōu,Europe
正在,zhèngzài,Is
加以,jiāyǐ,To be
充满,chōngmǎn,full
系列,xìliè,series
随着,suízhe,along with
早,zǎo,early
等等,děngděng,and many more
颇,pǒ,quite
不足,bùzú,insufficient
总,zǒng,total
分析,fēnxī,analysis
深,shēn,deep
报告,bàogào,report
不错,búcuò,Pretty good
在于,zàiyū,That
旁,páng,beside
笑,xiào,laugh
故,gù,Therefore
消费者,xiāofèizhě,consumer
意识,yìshì,awareness
公尺,gōngchǐ,meter
民族,mínzú,Nation
为主,wéizhǔ,Give priority
大众,dàzhòng,public
到底,dàodǐ,in the end
愿,yuàn,willing
度,dù,degree
大概,dàgài,probably
对方,duìfāng,other side
官员,guānyuán,Officer
发表,fābiǎo,Publish
进一步,jìnyībù,further
自由,zìyóu,free
正确,zhèngquè,correct
丰富,fēngfù,rich
国民党,guómíndǎng,Kuomintang
战争,zhànzhēng,war
怎么样,zěnmeyàng,How
只好,zhǐhǎo,Have to
明显,míngxiǎn,obvious
改革,gǎigé,reform
表达,biǎodá,expression
肯定,kěndìng,sure
强,qiáng,Strong
高兴,gāoxìng,happy
哪,nǎ,where
树,shù,tree
适合,shìhé,Suitable for
茶,chá,tea
别,bié,do not
国外,guówài,foreign
关心,guānxīn,concern
苏联,sūlián,Soviet Union
成绩,chéngjī,Achievement
人物,rénwù,character
听到,tīngdào,Hear
创造,chuàngzào,create
不必,búbì,Need not
不论,búlùn,whether
尚,shàng,Yet
居民,jūmín,Resident
不管,bùguǎn,Regardless of
美丽,měilì,beautiful
伊拉克,yīlākè,Iraq
带来,dàilái,bring
有,yǒu,Have
般,bān,Sort
永远,yǒngyuǎn,forever and always
感情,gǎnqíng,feeling
儿子,érzi,son
这样子,zhèyàngzi,in this way
起,qǐ,Start
全部,quánbù,Complete
